Indicação de data e hora;Qual é a sua idade?;Sexo;Escolaridade;Em que bairro você mora?;Qual é a sua profissão?;Qual é o seu artista musical favorito?;Através de que meio você descobriu esse artista?;Que meio você mais usa para ouvir música?;Que meio você mais usa para conhecer novas músicas?;Você tem o hábito de ouvir o rádio?;Qual estação de rádio você mais escuta?;Em quais horários você mais ouve rádio?;Com qual finalidade você ouve o rádio?;Você acompanha algum programa de rádio específico?;Você acompanha ou gosta de algum radialista?
10/16/2015 22:14:53;28;1;5;Minaslândia;Professor;Paulo César Baruk;CD;Spotify;Spotify;Sim;CBN;Manhã;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito, Ouvir pregações religiosas;Jornal da CBN;Milton Jung
10/16/2015 22:29:31;23;1;3;Betânia;estudante;Michael Jackson;núcleo familiar;Mídias Sociais (internet);Mídias Sociais (internet);Sim;98fm;Manhã;Ouvir notícias, Obter informações sobre o trânsito, me divertir;central 98;Ricardo Boechat
10/16/2015 22:40:56;18;1;2;Caichoeirinha;estudante;Stevie Wonder;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/16/2015 22:41:22;17;0;1;minaslandia;estudante;thales roberto;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/16/2015 22:46:47;50;0;1;minaslandia;cuidadora de idosos ;zê ramalho;festival de musica;Rádio;Rádio;Sim;94.3;Manhã;Ouvir música, Conhecer músicas novas, Ouvir notícias, Ouvir pregações religiosas;não;não
10/16/2015 22:52:56;25;0;3;Minaslândia;Assistente Jurídico;Leonardo Gonçalves;Rádio;Rádio;Amigos;Sim;CBN;Manhã;Ouvir notícias;não;não
10/16/2015 22:54:49;18;1;3;Dona Clara;Estudante;Roupa Nova;Amigos;celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/16/2015 23:03:04;21;0;3;castelo;estudante;john mayer;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;jovem pan;Tarde;Ouvir música;não;não
10/16/2015 23:16:03;30;0;5;Camargos;Músico;Maurice Gendron;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;100,9 Inconfidência;Noite;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito;Não.;Não.
10/16/2015 23:22:28;43;1;5;Carlos Prates;Professor;The Beatles ;Amigos;CD;Mídias Sociais (internet);Sim;Itatiaia;Noite;Ouvir notícias, Obter informações sobre o trânsito;não ;não 
10/16/2015 23:33:23;24;0;3;Betânia;Estudante;Não tenho apenas um... Brasileiro eu diria que é Chico Buarque.;Mídias Sociais (internet);Aplicativo de celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/16/2015 23:41:25;17;0;1;Salgado filho ;Estudante ;Marcos Almeida ;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/16/2015 23:47:04;26;0;4;Santo André;Teóloga;Daniela Araújo;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;Alvorada;Manhã;Ouvir música, Ouvir notícias;Não;Não
10/16/2015 23:47:18;21;0;3;centro;musicista (violonista);Chico Buarque;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;Radio Cidade (juiz de fora);Noite;Ouvir música, Conhecer músicas novas;não;não
10/17/2015 0:14:07;23;1;3;justinopolis;empresario;chico buarque;Meu pai;Mídias Sociais (internet);Mídias Sociais (internet);Sim;98 fm;Noite;Ouvir música, Escutar os jogos;"As vezes Graffite e ""No fundo do bau""";gosto de alguns, mas nenhum específico
10/17/2015 0:28:17;33;1;5;solar da serra;professor;david bowie;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;cbn;Tarde;Ouvir notícias;não ;não
10/17/2015 0:42:53;23;0;3;santa matilde;professora de música;coldplay;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Sim;94.9;Noite;Ouvir música, Conhecer músicas novas, Ouvir notícias, Obter informações sobre o trânsito;grafitte;não
